grid_id,latitude,longitude,seasons_analyzed,seasons_with_detected_onset,first_detected_onset_date,latest_detected_onset_date,false_onset_probability,crop_stress_probability,overall_risk_level,false_onset_interpretation,crop_stress_interpretation
G21,-17.125,34.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G22,-17.125,34.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G23,-17.125,34.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G24,-17.125,35.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G25,-17.125,35.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G26,-17.125,35.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G27,-17.125,35.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G28,-16.875,32.625,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G29,-16.875,32.875,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G30,-16.875,33.125,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G31,-16.875,33.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G32,-16.875,33.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G33,-16.875,33.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G34,-16.875,34.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G35,-16.875,34.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G36,-16.875,34.625,1,1,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,1.0,High,No cases where onset was followed by a 10+ day dry spell in the available season.,The available season had a case where onset was followed by a 5+ day dry spell.
G37,-16.875,34.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G38,-16.875,35.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G39,-16.875,35.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G40,-16.875,35.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G41,-16.875,35.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G42,-16.625,32.625,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G43,-16.625,32.875,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G44,-16.625,33.125,1,1,2026-01-04 00:00:00,2026-01-04 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G45,-16.625,33.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G46,-16.625,33.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G47,-16.625,33.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G48,-16.625,34.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G49,-16.625,34.375,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G50,-16.625,34.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G51,-16.625,34.875,1,1,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G52,-16.625,35.125,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G53,-16.625,35.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G54,-16.625,35.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G55,-16.625,35.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G56,-16.375,32.625,1,1,2026-01-10 00:00:00,2026-01-10 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G57,-16.375,32.875,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G58,-16.375,33.125,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G59,-16.375,33.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G60,-16.375,33.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G61,-16.375,33.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G62,-16.375,34.125,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G63,-16.375,34.375,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G64,-16.375,34.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G65,-16.375,34.875,1,1,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G66,-16.375,35.125,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G67,-16.375,35.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G68,-16.375,35.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G69,-16.375,35.875,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G70,-16.125,32.625,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G71,-16.125,32.875,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G72,-16.125,33.125,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G73,-16.125,33.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G74,-16.125,33.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G75,-16.125,33.875,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G76,-16.125,34.125,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G77,-16.125,34.375,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G78,-16.125,34.625,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G79,-16.125,34.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G80,-16.125,35.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G81,-16.125,35.375,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G82,-16.125,35.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G83,-16.125,35.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G84,-15.875,32.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G85,-15.875,32.875,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G86,-15.875,33.125,1,1,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G87,-15.875,33.375,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G88,-15.875,33.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G89,-15.875,33.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G90,-15.875,34.125,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G91,-15.875,34.375,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G92,-15.875,34.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G93,-15.875,34.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G94,-15.875,35.125,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G95,-15.875,35.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G96,-15.875,35.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G97,-15.875,35.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G98,-15.625,32.625,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G99,-15.625,32.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G100,-15.625,33.125,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G101,-15.625,33.375,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G102,-15.625,33.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G103,-15.625,33.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G104,-15.625,34.125,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G105,-15.625,34.375,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G106,-15.625,34.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G107,-15.625,34.875,1,1,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G108,-15.625,35.125,1,1,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G109,-15.625,35.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G110,-15.625,35.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G111,-15.625,35.875,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G112,-15.375,32.625,1,1,2026-01-10 00:00:00,2026-01-10 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G113,-15.375,32.875,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G114,-15.375,33.125,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G115,-15.375,33.375,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G116,-15.375,33.625,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G117,-15.375,33.875,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G118,-15.375,34.125,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G119,-15.375,34.375,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G120,-15.375,34.625,1,1,2026-01-06 00:00:00,2026-01-06 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G121,-15.375,34.875,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G122,-15.375,35.125,1,1,2026-01-07 00:00:00,2026-01-07 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G123,-15.375,35.375,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G124,-15.375,35.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G125,-15.375,35.875,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G126,-15.125,32.625,1,1,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G127,-15.125,32.875,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G128,-15.125,33.125,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G129,-15.125,33.375,1,1,2026-01-09 00:00:00,2026-01-09 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
G130,-15.125,33.625,1,1,2026-01-03 00:00:00,2026-01-03 00:00:00,0.0,0.0,Low,No cases where onset was followed by a 10+ day dry spell in the available season.,No cases where onset was followed by a 5+ day dry spell in the available season.
